Spanish Word/Phrase,English Meaning
"despertarse, levantarse","to wake up, to get up"
"dormir, acostarse","to sleep, to go to bed"
ducharse,to shower
lavarse los dientes,to brush one's teeth
trabajar,to work
vestirse,to get dressed
ver la tele,to watch TV
desayunar,to have breakfast
"comer, almorzar","to eat, to have lunch"
cenar,to have dinner
hacer deporte,to do exercise/sports
limpiar,to clean
estudiar,to study
cocinar,to cook
hacer la compra,to do the shopping/groceries
pasear,to stroll/walk
sacar/pasear al perro,to take out/walk the dog
coger/tomar el autobús,to take the bus
estar con el móvil,to be on one's phone
maquillarse,to put on makeup
quedar con amigo/as,to meet up with friends
salir de casa,to leave the house
volver a casa,to return home
descansar,to rest
